,Ashoknagar,Chhindwara,Dewas,Guna,Harda,Indore,Khandwa,Khargone,Mandsaur,Raisen,Rajgarh,Sagar,Sehore,Shajapur,Shivpuri,Tikamgarh,Ujjain,Vidisha
33,0.05733638,0.09168732,0.057480607,0.09688425,0.0650989,0.08093759,0.10213947,0.10192835,0.08111116,0.116510436,0.08133313,0.06212248,0.07948655,0.07885147,0.08335552,0.09345223,0.062213186,0.08525097
34,0.06549685,0.093699306,0.06467172,0.09214019,0.084948346,0.08305156,0.1071427,0.10732234,0.0888386,0.10693974,0.08605606,0.0605584,0.08039364,0.07532601,0.0742518,0.09170628,0.06989285,0.087587975
35,0.07176977,0.09840246,0.06896625,0.0851288,0.09113326,0.08129408,0.10720343,0.10894469,0.09258957,0.09329905,0.08423575,0.063593686,0.07921214,0.07016111,0.06934483,0.087982565,0.07629823,0.088025495
36,0.074395664,0.09718576,0.075090066,0.08680763,0.09364139,0.07597451,0.10106168,0.10595775,0.099260546,0.08336243,0.07740305,0.064905465,0.075385936,0.067220576,0.0723571,0.082885355,0.08056162,0.08811695
37,0.07731729,0.09286989,0.08190381,0.08958256,0.096866205,0.071422786,0.091513835,0.09873707,0.09199751,0.07664538,0.07269793,0.06434193,0.07211763,0.06401898,0.075434245,0.08020933,0.08405936,0.08546065
38,0.093957774,0.08851828,0.09769734,0.08632993,0.08816527,0.06379979,0.08335159,0.08987427,0.084485695,0.074550174,0.070909746,0.064920954,0.06896376,0.061990127,0.07555225,0.081373386,0.090737455,0.079124294
39,0.108198725,0.087815784,0.10965977,0.082267106,0.090472504,0.06059834,0.07736493,0.08388135,0.08531544,0.07774777,0.07215442,0.07302598,0.06645192,0.06505424,0.08396312,0.084123865,0.09448806,0.08278536
40,0.110117935,0.0957402,0.10307225,0.08158831,0.108998336,0.059380848,0.07190038,0.07914371,0.09973104,0.08329742,0.08533416,0.09056094,0.059497003,0.070642486,0.11180135,0.08864153,0.09058137,0.087981366
41,0.08230864,0.09174712,0.08075363,0.07684345,0.08641898,0.058176793,0.07106217,0.0711111,0.067854576,0.08120384,0.085259,0.07817022,0.05405334,0.0686837,0.16646951,0.086907685,0.058793217,0.0877596
42,0.070727326,0.08568798,0.06797175,0.078253515,0.06252895,0.06282846,0.06831184,0.058521982,0.06785397,0.06875673,0.0749693,0.06281848,0.06111392,0.06512403,0.1566857,0.0815924,0.04556972,0.070517
43,0.06032425,0.08118327,0.0689785,0.07766853,0.061132275,0.07333904,0.07719864,0.065425016,0.07745434,0.060147095,0.07008911,0.053099662,0.07199931,0.063356645,0.13008447,0.07847797,0.047349963,0.05760741
44,0.060791925,0.07913063,0.055242896,0.0760539,0.05915525,0.07978882,0.08709752,0.08922264,0.07912748,0.05567757,0.06896652,0.051391724,0.07225696,0.059586655,0.12040453,0.08261986,0.05235505,0.05011154
45,0.06592314,0.07742813,0.05650985,0.0825741,0.05533819,0.07863965,0.08843711,0.09742254,0.065852284,0.05216213,0.07363207,0.056422498,0.07103951,0.055930983,0.11825258,0.099577166,0.05843726,0.049757343
46,0.0742777,0.08030665,0.06926442,0.09374474,0.08678423,0.07993693,0.09923963,0.09960987,0.067152314,0.053153396,0.080170855,0.06604469,0.0747699,0.06303395,0.11565797,0.10953445,0.068036355,0.061628636
47,0.07996852,0.08864189,0.07401223,0.094435625,0.10006818,0.07922868,0.10290981,0.10241009,0.07373916,0.06570677,0.08344549,0.07205605,0.07673534,0.07595052,0.11303653,0.10546079,0.075377055,0.07704441
48,0.07759526,0.10193069,0.07987595,0.090549365,0.1007701,0.07486342,0.08488631,0.09950206,0.07904645,0.07862949,0.072339706,0.06904749,0.073944554,0.07571636,0.12826714,0.091503374,0.07943621,0.08379071
49,0.0784232,0.09599128,0.08960382,0.0714143,0.09859549,0.06648131,0.0764484,0.09408487,0.06876311,0.07296347,0.07091686,0.059722386,0.07026902,0.069546156,0.1584613,0.078466214,0.089166075,0.083555825
50,0.08095617,0.09220855,0.089808956,0.06481129,0.088484816,0.05904517,0.07384825,0.09538289,0.06908985,0.07250928,0.06973077,0.056949824,0.06763906,0.062289838,0.16344923,0.071787,0.09218111,0.079565346
51,0.07087908,0.09126978,0.069475144,0.05980432,0.09488825,0.059295215,0.07398144,0.09768208,0.077585064,0.07694666,0.069263436,0.058707982,0.06626117,0.0622919,0.1618732,0.064954594,0.08321755,0.07711302
