Date,State,Crop,Modal_Price,Log_Returns,Squared_Log_Returns,Conditional_Volatility,SARIMAX_pred,LSTM_pred
2012-01-01,Madhya Pradesh,Soybean,2269.7138889444445,,,,,
2012-02-01,Madhya Pradesh,Soybean,2313.9407407222225,0.0192982359841833,0.0003724219121012,0.1042630342062065,,
2012-03-01,Madhya Pradesh,Soybean,2702.629629611112,0.1552732165132786,0.0241097717663795,0.0972653495150187,,
2012-04-01,Madhya Pradesh,Soybean,3228.210185166666,0.1777026254782052,0.0315782231018472,0.096639553159082,,
2012-05-01,Madhya Pradesh,Soybean,3192.564814833333,-0.0111032504754646,0.0001232821711209,0.1774147086147014,,
2012-06-01,Madhya Pradesh,Soybean,3506.523941833333,0.0938006058778349,0.0087985536630489,0.1979491992053434,,
2012-07-01,Madhya Pradesh,Soybean,4192.763888888889,0.1787349390055457,0.0319461784213161,0.1118710148888617,,
2012-08-01,Madhya Pradesh,Soybean,4093.689814833333,-0.0239134372473408,0.0005718524809825,0.1419745594885283,,
2012-09-01,Madhya Pradesh,Soybean,2925.6944443888888,-0.3359148491832702,0.1128387859018191,0.208745424804859,,
2012-10-01,Madhya Pradesh,Soybean,3044.5440476111107,0.0398192825012682,0.0015855752589158,0.1288136016027674,,
2012-11-01,Madhya Pradesh,Soybean,3068.3157407222225,0.0077776405043206,6.049169181444864e-05,0.0941602866567876,,
2012-12-01,Madhya Pradesh,Soybean,3145.6070106111106,0.0248780872765959,0.0006189192265419,0.0935313932885411,,
2013-01-01,Madhya Pradesh,Soybean,3109.938425888889,-0.0114039524265745,0.0001300501309475,0.0893769033606732,,
2013-02-01,Madhya Pradesh,Soybean,3142.187037,0.0103161388237555,0.0001064227202309,0.0979512690040326,,
2013-03-01,Madhya Pradesh,Soybean,3302.6944444444443,0.0498195675661694,0.0024819893124801,0.0906554176766832,,
2013-04-01,Madhya Pradesh,Soybean,3715.689814777778,0.1178257109519833,0.0138828981613403,0.0944187755870258,,
2013-05-01,Madhya Pradesh,Soybean,3490.607407388889,-0.0624885812849829,0.0039048227910099,0.119979975485593,,
2013-06-01,Madhya Pradesh,Soybean,3451.2824074444443,-0.0113298890244131,0.0001283663853055,0.1590284705308486,,
2013-07-01,Madhya Pradesh,Soybean,3001.3009259444443,-0.1397000376240242,0.0195161005121537,0.098215126863804,,
2013-08-01,Madhya Pradesh,Soybean,3314.712037055556,0.0993249165607128,0.0098654390497925,0.0999300886776173,,
2013-09-01,Madhya Pradesh,Soybean,3153.1818782222226,-0.0499586901346855,0.0024958707199735,0.080116977113122,,
2013-10-01,Madhya Pradesh,Soybean,3373.5806878333333,0.0675626358556584,0.0045647097637643,0.1052113379377373,,
2013-11-01,Madhya Pradesh,Soybean,3527.920634944445,0.0447339431916997,0.0020011256734782,0.0725647683563039,,
2013-12-01,Madhya Pradesh,Soybean,3516.583333333333,-0.003218767836735,1.0360466386799878e-05,0.0897033490547499,,
2014-01-01,Madhya Pradesh,Soybean,3455.5998677222224,-0.017493809067389,0.0003060333556862,0.09208611907347,,
2014-02-01,Madhya Pradesh,Soybean,3650.084259222222,0.054754186823029,0.0029980209746511,0.079711874421007,,
2014-03-01,Madhya Pradesh,Soybean,3628.8796296111113,-0.0058262933897594,3.3945694663555067e-05,0.0801294205306881,,
2014-04-01,Madhya Pradesh,Soybean,4163.414351833333,0.1374115366314292,0.0188819303994106,0.0996602226359729,,
2014-05-01,Madhya Pradesh,Soybean,4088.7787037222224,-0.0180891752717027,0.0003272182620103,0.0885348630214373,,
2014-06-01,Madhya Pradesh,Soybean,3811.427248666667,-0.0702425950757614,0.0049340221629773,0.1411719416269133,,
2014-07-01,Madhya Pradesh,Soybean,3689.3564815,-0.0325516773542133,0.0010596116985728,0.0907142297429433,,
2014-08-01,Madhya Pradesh,Soybean,3353.796296277778,-0.0953591205921426,0.0090933618801068,0.0834971873683472,,
2014-09-01,Madhya Pradesh,Soybean,2870.5203703888888,-0.1555995999336845,0.0242112354995226,0.0801520040744298,,
2014-10-01,Madhya Pradesh,Soybean,2931.968452333333,0.0211806971288117,0.0004486219308624,0.0693145400328306,,
2014-11-01,Madhya Pradesh,Soybean,3037.8777777777777,0.0354851480287177,0.00125919573062,0.045881061080567,,
2014-12-01,Madhya Pradesh,Soybean,3196.412698333333,0.0508699769906684,0.0025877545590311,0.0474966342883421,,
2015-01-01,Madhya Pradesh,Soybean,3106.814682555556,-0.028431165714883,0.0008083311839071,0.0621587439358881,,
2015-02-01,Madhya Pradesh,Soybean,3087.9268518333333,-0.0060980394896894,3.7186085617812034e-05,0.0759040777028377,,
2015-03-01,Madhya Pradesh,Soybean,3039.787037055556,-0.0157124846400442,0.0002468821735636,0.0539667911279731,,
2015-04-01,Madhya Pradesh,Soybean,3673.768518555555,0.1894305201514559,0.0358839219648511,0.0542220349472962,,
2015-05-01,Madhya Pradesh,Soybean,3588.7592592222227,-0.0234114469968744,0.0005480958504874,0.0639649195147478,,
2015-06-01,Madhya Pradesh,Soybean,3212.695634888889,-0.1106961861316815,0.0122536456240998,0.2080018717660901,,
2015-07-01,Madhya Pradesh,Soybean,3010.6055555000003,-0.0649691066312243,0.0042209848164594,0.0666319849360027,,
2015-08-01,Madhya Pradesh,Soybean,3088.953703666667,0.0256911865858757,0.0006600370681902,0.0634934824670636,,
2015-09-01,Madhya Pradesh,Soybean,3208.6641092777777,0.0380222588454053,0.001445692167707,0.0530678747485102,,
2015-10-01,Madhya Pradesh,Soybean,3350.0583333888885,0.0431230734502054,0.0018595994637918,0.0594926788357853,,
2015-11-01,Madhya Pradesh,Soybean,3346.391366833333,-0.0010951973317929,1.19945719556645e-06,0.0723564242116212,,
2015-12-01,Madhya Pradesh,Soybean,3384.9337301666665,0.0114517673683423,0.0001311429758586,0.077825595076907,,
2016-01-01,Madhya Pradesh,Soybean,3373.546296333333,-0.0033698241512052,1.1355714810046092e-05,0.0658377358256355,,
2016-02-01,Madhya Pradesh,Soybean,3294.989814833333,-0.0235614276705522,0.0005551408738746,0.0697339633920557,,
2016-03-01,Madhya Pradesh,Soybean,3313.125925944444,0.0054890553854907,3.0129729024984622e-05,0.0709321433871789,,
2016-04-01,Madhya Pradesh,Soybean,3525.222222222222,0.0620513438047929,0.0038503692679806,0.067091124647039,,
2016-05-01,Madhya Pradesh,Soybean,3456.211111111112,-0.0197705415752338,0.000390874314178,0.0708275234158727,,
2016-06-01,Madhya Pradesh,Soybean,3463.913888888889,0.0022261970582881,4.955953342331004e-06,0.098208428882441,,
2016-07-01,Madhya Pradesh,Soybean,3369.464814833333,-0.0276452084273639,0.0007642575489923,0.0726877289290099,,
2016-08-01,Madhya Pradesh,Soybean,3082.482407444445,-0.0890186742941576,0.0079243243730893,0.0742599411497629,,
2016-09-01,Madhya Pradesh,Soybean,2805.8018518333333,-0.0940458854996686,0.0088446285794167,0.0738965177431021,,
2016-10-01,Madhya Pradesh,Soybean,2772.4047619444445,-0.0119742746186775,0.0001433832526435,0.061543476939513,,
2016-11-01,Madhya Pradesh,Soybean,2778.003703666667,0.0020174888590664,4.070261296457433e-06,0.0464436283926392,,
2016-12-01,Madhya Pradesh,Soybean,2770.594444444445,-0.0026706794863642,7.132528918886738e-06,0.0430472300408243,,
2017-01-01,Madhya Pradesh,Soybean,2764.075042111111,-0.0023558426982459,5.549994818878796e-06,0.0448341414536472,,
